Merge / Aquisitions,Deal value in billion euros
Allergan plc - AbbVie Inc.,75.77
Alcon Inc - Novartis AG (Shareholders),23.67
Nestle Skin Health S.A. - A consortium led by EQT Partners AB and Abu Dhabi Investment Authority,9.03
"Metro AG (89.09% stake) - EP Global Commerce, a.s.",8.76
WABCO - ZF Friedrichshafen AG,6.45
UPC Switzerland LLC - Sunrise Communications AG,5.54
"RPC Group Plc - Berry Plastics Group, Inc.",5.22
Merlin Entertainments Plc (71.08% stake) - Kirkbi - Blackstone CPPIB consortium,5.11
Axel Springer SE (54.6% stake) - Kohlberg Kravis Roberts & Co. L.P.,4.95
Altran Technologies S.A - Capgemini SA,4.91
