Cities,Percentage of households
"New Orleans city, Louisiana",49.4
"Cleveland city, Ohio",47.4
"Atlanta city, Georgia",46.2
"St. Louis city, Missouri",46.2
"Pittsburgh city, Pennsylvania",45.9
"Washington city, District of Columbia",45.6
"Cincinnati city, Ohio",43.9
"Detroit city, Michigan",41.9
"Baltimore city, Maryland",40.3
"Denver city, Colorado",39.8
"Memphis city, Tennessee",38.8
"Minneapolis city, Minnesota",38.8
"Toledo city, Ohio",38.6
"Arlington CDP, Virginia",38.4
"St. Petersburg city, Florida",38.4
"Seattle city, Washington",38.3
"Philadelphia city, Pennsylvania",38.2
"St. Paul city, Minnesota",37.9
"Buffalo city, New York",37.9
"Indianapolis city (balance), Indiana",37.5
"Chicago city, Illinois",37.3
"Orlando city, Florida",37.1
"Reno city, Nevada",36.9
"Kansas City city, Missouri",36.8
"Dallas city, Texas",36.4
