Month,Personal saving rate
Jan 20,7.9%
Dec 19,7.5%
Nov 19,7.8%
Oct 19,7.7%
Sep 19,7.8%
Aug 19,7.7%
Jul 19,7.4%
Jun 19,7.8%
May 19,7.8%
Apr 19,8%
Mar 19,8.4%
Feb 19,8.8%
Jan 19,8.3%
Dec 18,8.8%
Nov 18,7.2%
Oct 18,7.3%
Sep 18,7.5%
Aug 18,7.5%
Jul 18,7.5%
Jun 18,7.6%
May 18,7.5%
Apr 18,7.7%
Mar 18,8%
Feb 18,8%
Jan 18,7.7%
Dec 17,6.7%
Nov 17,6.7%
Oct 17,6.9%
Sep 17,6.8%
Aug 17,7.1%
Jul 17,7%
Jun 17,6.9%
May 17,7.2%
Apr 17,7%
Mar 17,7.2%
Feb 17,7.1%
Jan 17,6.8%
Dec 16,6.3%
Nov 16,6.5%
Oct 16,6.5%
Sep 16,6.5%
Aug 16,6.5%
Jul 16,6.5%
Jun 16,6.3%
May 16,6.3%
Apr 16,7%
Mar 16,7.5%
Feb 16,7.2%
Jan 16,7.7%
Dec 15,5.8%
Nov 15,6.1%
Oct 15,6.3%
Sep 15,6%
Aug 15,6%
Jul 15,6%
Jun 15,6.3%
