Year,Number of families in millions
2019,83.48
2018,83.09
2017,82.83
2016,82.18
2015,81.72
2014,81.35
2013,80.9
2012,80.51
2011,78.61
2010,78.83
2009,78.85
2008,77.87
2007,78.43
2006,77.4
2005,76.86
2004,76.22
2003,75.6
2002,74.33
2001,73.77
2000,72.03
1999,71.54
1998,70.88
1997,70.24
1996,69.59
1995,69.31
1994,68.49
1993,68.14
1992,67.17
1991,66.32
1990,66.09
1989,65.84
1988,65.13
1987,64.49
1986,63.56
1985,62.71
1984,62.0
1983,61.39
1982,61.02
1981,60.31
1980,59.55
1979,57.8
1978,57.22
1977,56.71
1976,56.25
1975,55.71
1974,55.05
1973,54.37
1972,53.3
1971,52.23
1970,51.59
1960,45.11
