Parks,Capacity in megawatts
Golmud Desert Solar Park(China)*,4500
Bhadla Industrial Solar Park (India)*,2200
Haixi Delingha Solar Park(China)*,2000
Pavagada Solar Park(India)*,2000
"Jinchuan, Gansu(China)*",1000
Tengger Solar Park (China)*,1547
Anatapur Ultra Mega Solar Park(India)*,1500
Rewa Ultra Mega Solar Park(India),750
Benban Solar Park(Egypt)*,1400
Shichengzi PV Industrial Park(China)*,1000
Quaid-e-Azam Solar Park(Pakistan)*,1000
Charanka Solar Park(India)*,800
Sheikh Mohammed Bin Rashid Al Maktoum Solar Park (UAE)*,5000
