Month,Index value
Jan 20,28256.03
Dec 19,28538.44
Nov 19,28051.41
Oct 19,27046.23
Sep 19,26916.83
Aug 19,26864.27
Jul 19,26403.28
Jun 19,26599.96
May 19,24815.04
Apr 19,26592.91
Mar 19,25928.68
Feb 19,25916.0
Jan 19,24999.67
Dec 18,23327.46
Nov 18,25538.46
Oct 18,25115.76
Sep 18,26458.31
Aug 18,25964.82
Jul 18,25415.19
Jun 18,24271.41
May 18,24415.84
Apr 18,24163.15
Mar 18,24103.11
Feb 18,25029.2
Jan 18,26149.39
Dec 17,24719.22
Nov 17,24272.35
Oct 17,23377.24
Sep 17,22405.09
Aug 17,21948.1
Jul 17,21891.12
Jun 17,21349.63
May 17,21008.65
Apr 17,20940.51
Mar 17,20663.22
Feb 17,20812.24
Jan 17,19864.09
Dec 16,19762.6
Nov 16,19123.58
Oct 16,18142.42
Sep 16,18308.15
Aug 16,18400.88
Jul 16,18432.24
Jun 16,17929.99
May 16,17787.2
Apr 16,17773.64
Mar 16,17685.09
Feb 16,16516.5
Jan 16,16466.3
Dec 15,17425.03
Nov 15,17719.92
Oct 15,17663.54
Sep 15,16284.7
Aug 15,16528.03
Jul 15,17689.86
Jun 15,17619.51
May 15,18010.68
Apr 15,17840.52
Mar 15,17776.12
Feb 15,17662.94
Jan 15,18132.7
Dec 14,17164.95
Nov 14,17823.07
Oct 14,17828.24
Sep 14,17390.52
Aug 14,17042.9
Jul 14,17098.45
Jun 14,16563.3
May 14,16826.6
Apr 14,16717.17
Mar 14,16580.84
Feb 14,16457.66
Jan 14,16321.71
Dec 13,15698.85
Nov 13,16576.66
