Franchise Name,Franchise value in million U.S. dollars
New York Rangers,1650
Toronto Maple Leafs,1500
Montreal Canadiens,1340
Chicago Blackhawks,1085
Boston Bruins,1000
Los Angeles Kings,850
Philadelphia Flyers,825
Detroit Red Wings,800
Washington Capitals,775
Vancouver Canucks,740
Pittsburgh Penguins,665
Dallas Stars,600
Vegas Golden Knights,580
Edmonton Oilers,575
New Jersey Devils,550
San Jose Sharks,540
St. Louis Blues,530
New York Islanders,520
Minnesota Wild,510
Calgary Flames,500
Anaheim Ducks,480
Colorado Avalanche,475
Tampa Bay Lightning,470
Nashville Predators,460
Carolina Hurricanes,450
Ottawa Senators,445
Winnipeg Jets,420
Buffalo Sabres,400
Columbus Blue Jackets,325
Florida Panthers,310
Arizona Coyotes,300
