Month,Retail sales in thousand GBP
Dec 19,6413719
Nov 19,4103639
Oct 19,3684260
Sep 19,4570809
Aug 19,3755191
Jul 19,4000259
Jun 19,4735522
May 19,3534680
Apr 19,3614324
Mar 19,4110860
Feb 19,2979949
Jan 19,3182274
Dec 18,6562771
Nov 18,4164350
Oct 18,3610727
Sep 18,4412748
Aug 18,3624307
Jul 18,3942695
Jun 18,4571299
May 18,3507200
Apr 18,3274802
Mar 18,3862707
Feb 18,2851154
Jan 18,3047687
Dec 17,6357075
Nov 17,4094224
Oct 17,3585331
Sep 17,4446848
Aug 17,3681833
Jul 17,3866902
Jun 17,4579545
May 17,3462317
Apr 17,3385237
Mar 17,3983710
Feb 17,2904247
Jan 17,3052591
Dec 16,6275529
Nov 16,3991563
Oct 16,3650714
Sept 16,4170853
Aug 16,3547220
July 16,3809540
June 16,4298271
May 16,3333118
Apr 16,3126633
Mar 16,3750005
Feb 16,2778610
Jan 16,2996428
