Country,Length of rail network in kilometers
Germany,39219
France *,28120
Poland,18513
Italy,17105
United Kingdom,16320
Spain,15904
Sweden,10874
Romania,10766
Turkey,10207
Czech Republic,9408
Hungary,7752
Finland,5926
Austria,4953
Norway,4134
Switzerland,4062
Bulgaria,4030
Serbia,3736
Slovak Republic,3626
Belgium *,3605
Netherlands,3055
Croatia,2605
Portugal,2546
Denmark,2487
Greece,2240
Lithuania,1911
Republic of Ireland,1894
Latvia,1860
Slovenia,1209
Estonia,1033
FYR Macedonia,683
Albania*,423
Luxembourg,275
Montenegro,250
