State,Share of households
Alabama,4.07%
Colorado,1.83%
Wisconsin,1.79%
Montana,1.77%
Indiana,1.54%
New Mexico,1.33%
New York,1.27%
Hawaii,1.25%
Pennsylvania,1.21%
Nebraska,1.11%
Ohio,1.05%
Oregon,1.04%
North Carolina,0.98%
Vermont,0.97%
Alaska,0.97%
Oklahoma,0.97%
Arkansas,0.96%
Kentucky,0.96%
Florida,0.9%
Massachusetts,0.89%
West Virginia,0.87%
Virginia,0.81%
Louisiana,0.74%
Michigan,0.73%
Arizona,0.71%
Connecticut,0.7%
Tennessee,0.69%
Missouri,0.69%
New Jersey,0.68%
Georgia,0.66%
California,0.64%
South Carolina,0.63%
North Dakota,0.62%
Minnesota,0.62%
Wyoming,0.61%
South Dakota,0.61%
Illinois,0.6%
Texas,0.51%
Maine,0.49%
New Hampshire,0.46%
Mississippi,0.45%
Rhode Island,0.41%
Nevada,0.4%
Washington,0.39%
Utah,0.37%
Idaho,0.3%
Iowa,0.21%
Kansas,0.2%
Maryland,0.17%
District of Columbia,0.12%
Delaware,0%
