Country,Number of golf courses
England,1888
Germany,730
France,607
Scotland,560
Sweden,440
Ireland,394
Spain,345
Netherlands,252
Italy,241
Denmark,189
Austria,160
Norway,154
Wales,144
Finland,125
Czech Republic,107
Switzerland,99
Belgium,77
Portugal,76
Iceland,62
Poland,34
Slovakia,27
Russia,25
Turkey,19
Hungary,13
Slovenia,12
Latvia,9
Cyprus,9
Estonia,9
Greece,7
Romania,7
Bulgaria,6
Lithuania,5
Luxembourg,5
Ukraine,4
Croatia,4
Kazakhstan,3
Georgia,2
Azerbaijan,2
Serbia,2
Andorra,2
Malta,1
Armenia,1
Israel,1
Liechtenstein,0
Moldova,0
