Sovereign Wealth Funds,Managed assets in billion U.S. dollars
Norway Government Pension Fund Global (Norway),1098.82
China Investment Corporation (China),940.6
Abu Dhabi Investment Authority (UAE),696.66
Kuwait Investment Authority (Kuwait),592.0
Hong Kong Monetary AuthorityInvestment Portfolio (China - Hong Kong),509.35
GIC Private Limited (Singapore),440.0
National Council for Social Security Fund (China),437.9
SAFE Investment Company (China)*,417.84
Temasek Holdings (Singapore)*,375.38
Qatar Investment Authority (Qatar),328.0
