State,Percentage of homicides
Alabama*,100%
Missouri,85.23%
Louisiana,83.69%
Delaware,83.33%
Mississippi,83.1%
Maryland,82.55%
Illinois*,81.94%
Georgia,80.99%
Tennessee,80.04%
District of Columbia,79.47%
Indiana,79.25%
South Carolina,76.68%
Wisconsin,76.4%
Virginia,75.96%
Kentucky,75.53%
Rhode Island,75%
Pennsylvania,73.7%
Texas,73.48%
North Carolina,72.23%
Michigan,71.64%
Arkansas,71.56%
Colorado,71.01%
Kansas,70.91%
New Jersey,70.63%
Ohio,70.15%
Massachusetts,68.38%
California,67.68%
Nevada,66.67%
Wyoming,66.67%
Oklahoma,66.34%
Alaska,65.96%
Connecticut,65.06%
New Mexico,63.5%
South Dakota,61.54%
Nebraska,60.47%
Arizona,59.88%
West Virginia,59.65%
Washington,59.48%
Idaho,59.38%
Oregon,59.26%
New York,57.33%
New Hampshire,57.14%
North Dakota,56.25%
Montana,50%
Maine,47.83%
Utah,47.46%
Minnesota,47.12%
Iowa *,46.51%
Hawaii,33.33%
Vermont,30%
