Month,Price in British pounds per kilogram
Nov '19,0.59
Oct '19,0.73
Sep '19,0.8
Aug '19,1.03
Jul '19,1.27
Jun '19,1.91
May '19,1.73
Apr '19,2.03
Nov '18,0.66
Oct '18,0.61
Sep '18,0.85
Aug '18,0.7
Jul '18,0.83
Jun '18,1.22
May '18,1.03
Apr '18,0.65
Dec '17,0.6
Nov '17,0.73
Oct '17,1.09
Sep '17,1.15
Aug '17,0.76
Jul '17,0.89
Jun '17,1.59
May '17,1.3
Apr '17,1.09
Dec '16,0.89
Nov '16,0.66
Sep '16,0.55
Aug '16,0.86
Jul '16,1.3
Jun '16,1.2
Nov '15,0.41
Sep '15,0.6
Aug '15,0.64
Jul '15,0.65
Jun '15,0.83
May '15,0.85
Apr '15,1.49
