State,Percentage of population
California,26.9%
New Jersey,22.8%
New York,22.8%
Florida,21%
Nevada,19.4%
Hawaii,18.7%
Massachusetts,17.4%
Texas,17.2%
Maryland,15.1%
Washington,14.7%
Connecticut,14.6%
Illinois,14.1%
District of Columbia,13.9%
United States,13.7%
Arizona,13.4%
Rhode Island,13.2%
Virginia,12.5%
Oregon,10.3%
Georgia,10.1%
Colorado,9.6%
New Mexico,9.5%
Delaware,9.4%
Utah,8.6%
Minnesota,8.6%
Alaska,8.2%
North Carolina,7.9%
Kansas,7.2%
Pennsylvania,7.2%
Nebraska,7.2%
Michigan,7%
New Hampshire,6.1%
Oklahoma,6%
Idaho,6%
Iowa,5.5%
Indiana,5.3%
South Carolina,5.1%
Wisconsin,5.1%
Tennessee,5.1%
Vermont,4.9%
Arkansas,4.8%
Ohio,4.8%
North Dakota,4.7%
Missouri,4.2%
Louisiana,4.2%
South Dakota,4%
Kentucky,3.8%
Maine,3.5%
Alabama,3.3%
Wyoming,3%
Mississippi,2.4%
Montana,2.2%
West Virginia,1.5%
