Month,Exchange rate
Feb '20,1.06
Jan '20,1.07
Dec '19,1.09
Nov '19,1.1
Oct '19,1.1
Sep '19,1.08
Aug '19,1.09
Jul '19,1.1
Jun '19,1.11
May '19,1.12
Apr '19,1.14
Mar '19,1.12
Feb '19,1.13
Jan '19,1.14
Dec '18,1.13
Nov '18,1.13
Oct '18,1.14
Sep '18,1.13
Aug '18,1.13
Jul '18,1.16
Jun '18,1.16
May '18,1.15
Apr '18,1.2
Mar '18,1.18
Feb '18,1.15
Jan '18,1.16
Dec '17,1.17
Nov '17,1.17
Oct '17,1.16
Sep '17,1.15
Aug '17,1.14
Jul '17,1.14
Jun '17,1.09
May '17,1.09
Apr '17,1.08
Mar '17,1.07
Feb '17,1.06
Jan '17,1.07
Dec '16,1.08
Nov '16,1.08
Oct '16,1.09
Sep '16,1.09
Aug '16,1.1
Jul '16,1.08
Jun '16,1.09
May '16,1.1
Apr '16,1.1
Mar '16,1.09
Feb '16,1.09
Jan '16,1.11
Dec '15,1.08
Nov '15,1.09
Oct '15,1.09
Sep '15,1.09
Aug '15,1.08
Jul '15,1.06
Jun '15,1.04
May '15,1.03
Apr '15,1.05
Mar '15,1.05
Feb '15,1.06
Jan '15,1.05
Dec '14,1.2
Nov '14,1.2
Oct '14,1.21
Sep '14,1.21
Aug '14,1.21
Jul '14,1.22
Jun '14,1.22
May '14,1.22
Apr '14,1.22
Mar '14,1.22
Feb '14,1.22
Jan '14,1.22
