European providers for communication networks,Turnover in million SEK
Telia Company AB,79867
Tele2 AB,25024
Eltel AB,13091
Tele2 Sverige AB,13086
Telenor Sverige AB,11324
Com Hem AB,5016
Eltel Networks Infranet AB,4130
Relacom Management AB,3588
CLX Communications AB (publ),3058
Canal Digital Sverige AB,1623
Transtema Network Services AB,1219
IP-Only Networks AB,1213
IP-Only Produktion AB,1203
Svenska UMTS-nät AB,1115
Transtema Group AB,970
Svenska Rymd AB,935
A3 Allmänn IT - och Telekom AB (publ),838
Rebtel Owners AB,821
Nordic Entertainment Group Technology AB,727
RebTel Networks AB,716
