Month,Percentage change**
Mar 19,12.4%
Feb 19,11.8%
Jan 19,11.6%
Dec 18,13.3%
Nov 18,13%
Oct 18,12.9%
Sep 18,12%
Aug 18,14.2%
Jul 18,16.1%
Jun 18,15.8%
May 18,21%
Apr 18,13%
Mar 18,16.5%
Feb 18,15.3%
Jan 18,13.6%
Dec 17,9%
Nov 17,10.1%
Oct 17,9.6%
Sep 17,13.6%
Aug 17,19%
Jul 17,20.1%
Jun 17,20.1%
May 17,17.1%
Apr 17,22.1%
Mar 17,24.3%
Feb 17,22.2%
Jan 17,16.1%
Dec 16,30.1%
Nov 16,28.4%
Oct 16,30%
Sep 16,25.8%
Aug 16,23.6%
Jul 16,17.8%
Jun 16,17.2%
May 16,19.6%
Apr 16,12.9%
Mar 16,11.6%
Feb 16,12.4%
Jan 16,13.8%
Dec 15,8.4%
Nov 15,14.9%
Oct 15,11.6%
Sep 15,14.4%
Aug 15,8.7%
Jul 15,13.2%
Jun 15,13.9%
May 15,9.4%
Apr 15,14.3%
Mar 15,12.5%
Feb 15,11.4%
Jan 15,19.3%
Dec 14,11.1%
Nov 14,19.7%
Oct 14,12%
Sep 14,10.1%
Aug 14,13.7%
Jul 14,14.8%
Jun 14,15%
May 14,16.6%
Apr 14,15%
Mar 14,9.1%
Feb 14,11.9%
Jan 14,11%
Dec 13,13.5%
Nov 13,17.5%
Oct 13,17.8%
Sep 13,17.4%
Aug 13,21.7%
Jul 13,10.2%
Jun 13,18.1%
May 13,10.7%
Apr 13,13.9%
Mar 13,18.8%
Feb 13,12.9%
Jan 13,12.8%
