State,Number of forcible rapes
California,15505
Texas,14693
Florida,8438
Michigan,7690
New York,6575
Illinois,5859
Ohio,5300
Pennsylvania,4483
Colorado,4070
Arizona,3638
Washington,3413
Virginia,2924
Missouri,2912
Tennessee,2821
Georgia,2651
North Carolina,2633
Minnesota,2462
South Carolina,2434
Massachusetts,2410
Indiana,2370
Nevada,2329
Oklahoma,2299
Wisconsin,2248
Arkansas,2196
Louisiana,2085
Alabama,1996
Maryland,1979
Oregon,1975
Utah,1753
Kentucky,1707
Kansas,1567
New Jersey,1424
New Mexico,1354
Nebraska,1233
Alaska,1192
Iowa,976
Connecticut,840
Idaho,791
West Virginia,652
Hawaii,625
South Dakota,614
Montana,551
Mississippi,537
New Hampshire,534
Rhode Island,481
District of Columbia,450
Maine,446
North Dakota,397
Delaware,338
Vermont,287
Wyoming,243
