Year,GDP per capita in U.S. dollars
2024*,72325.94
2023*,69413.32
2022*,66656.96
2021*,64106.78
2020*,61732.57
2019*,59795.27
2018,60897.23
2017,57380.2
2016,54665.22
2015,53478.5
2014,62729.5
2013,61325.58
2012,58623.41
2011,61864.09
2010,58177.16
2009,58286.54
2008,64531.12
2007,58641.19
2006,52121.25
2005,48872.1
2004,46571.28
2003,40512.05
2002,33275.56
2001,30806.61
2000,30798.72
1999,33492.35
1998,33426.97
1997,32897.57
1996,35732.69
1995,35471.26
1994,30050.88
1993,27640.5
1992,29622.47
1991,27052.65
1990,26920.58
1989,21913.16
1988,22528.11
1987,21349.95
1986,17215.43
1985,12259.28
1984,11561.77
