Baseball Player,Average player salary in million U.S. dollars
San Francisco Giants,7.38
Chicago Cubs,6.99
Boston Red Sox,6.45
Los Angeles Angels,6.34
Washington Nationals,6.01
Seattle Mariners,5.9
New York Yankees,5.76
New York Mets,5.76
Houston Astros,5.73
Toronto Blue Jays,5.66
Los Angeles Dodgers,5.43
St Louis Cardinals,5.25
Baltimore Orioles,5.11
Colorado Rockies,4.8
Cleveland Indians,4.56
Minnesota Twins,4.32
Arizona Diamondbacks,4.14
Detroit Tigers,4.12
Texas Rangers,4.03
Kansas City Royals,3.73
Milwaukee Brewers,3.24
Philadelphia Phillies,3.21
Chicago White Sox,3.19
Cincinnati Reds,3.18
Pittsburgh Pirates,2.92
Atlanta Braves,2.87
Miami Marlins,2.68
Tampa Bay Rays,2.58
San Diego Padres,2.38
Oakland Athletics,2.09
