Response,Share of respondents
"""Big Box"" retail store (e.g., Walmart, Target)",62%
Grocery store/Supermarket,36%
"Pharmacy (e.g., CVS, Walgreens)",31%
Online (Net),12%
"Online mass merchandiser (e.g., Amazon, drugstore.com)",8%
"Department Stores (e.g., Macy's, Nordstrom)",5%
"In-person at a specialty beauty products merchant (e.g., Sephora)",4%
"Online specialty beauty products merchant (e.g., Sephora, Ultra)",3%
"In-person/not in a store (e.g., Avon, Mary Kay)",2%
"Online through a ""sampling"" membership program (e.g. Ipsy, Birchbox)",1%
"Online through a specific brand's website (e.g., Clairol, CoverGirl)",1%
Somewhere else,10%
