State,COPD prevalence
Alabama,10.1%
Alaska,6.3%
Arizona,5.9%
Arkansas,9.3%
California,4.4%
Colorado,4.2%
Connecticut,5.3%
Delaware,7.3%
District of Columbia,5.8%
Florida,7.1%
Georgia,6.8%
Hawaii,3.4%
Idaho,4.7%
Illinois,6.4%
Indiana,8%
Iowa,5.9%
Kansas,6.2%
Kentucky,11.3%
Louisiana,8.4%
Maine,6.5%
Maryland,5.4%
Massachusetts,5%
Michigan,8%
Minnesota,4%
Mississippi,7.5%
Missouri,7.9%
Montana,5.7%
Nebraska,5.3%
Nevada,6.5%
New Hampshire,6%
New Jersey,5.8%
New Mexico,5.6%
New York,5%
North Carolina,7.3%
North Dakota,4.8%
Ohio,7.6%
Oklahoma,8.1%
Oregon,4.9%
Pennsylvania,5.9%
Rhode Island,7%
South Carolina,7.2%
South Dakota,4.4%
Tennessee,8.9%
Texas,4.8%
Total,6.2%
Utah,4.1%
Vermont,5.7%
Virginia,6.6%
Washington,5.4%
West Virginia,13.8%
Wisconsin,4.7%
Wyoming,6.1%
