State,Percentage of binge drinkers
District of Columbia,25.9%
North Dakota,23.3%
Wisconsin,22.7%
Iowa,21.1%
Nebraska,20.6%
Illinois,20.3%
Minnesota,20%
Alaska,19.6%
Montana,19.5%
Hawaii,19.5%
Colorado,18.9%
Ohio,18.9%
Missouri,18.8%
Massachusetts,18.8%
New Hampshire,18.7%
Pennsylvania,18.2%
Louisiana,18.1%
Rhode Island,18.1%
Michigan,18.1%
Wyoming,18%
Maine,17.9%
Nevada,17.9%
Texas,17.8%
California,17.6%
New York,17.5%
South Dakota,17.4%
United States,17.4%
Vermont,17.4%
Kansas,17.2%
New Jersey,16.7%
Indiana,16.6%
Oregon,16.1%
Virginia,16%
Kentucky,15.8%
Washington,15.6%
South Carolina,15.5%
North Carolina,15.4%
Connecticut,15.4%
Maryland,15.3%
Arizona,15.2%
Florida,15.1%
Idaho,15.1%
Arkansas,15.1%
Delaware,14.8%
New Mexico,14.7%
Oklahoma,13.4%
Tennessee,13.1%
Georgia,12.9%
Mississippi,12.6%
Alabama,12.4%
Utah,11.5%
West Virginia,11.5%
