Country,Number of cases
Total (worldwide),88948
China*,80174
Republic of Korea,4212
Italy,1689
Iran (Islamic Republic of),978
Cases on an international conveyance (Japan)**,706
Japan,254
Germany,129
Singapore,106
France,100
United States of America,62
Kuwait,56
Bahrain,47
Spain,45
Thailand,42
United Kingdom,36
Australia,27
Malaysia,24
Switzerland,24
United Arab Emirates,21
Norway,19
Iraq,19
Canada,19
Viet Nam,16
Sweden,14
Netherlands,13
Lebanon,10
Austria,10
Israel,7
Croatia,7
Greece,7
Oman,6
Finland,6
Mexico,5
Pakistan,4
Denmark,4
India,3
Czechia,3
Romania,3
Georgia,3
Philippines,3
Azerbaijan,3
Qatar,3
Indonesia,2
Iceland,2
Egypt,2
Brazil,2
Russian Federation,2
Armenia,1
Ecuador,1
Dominican Republic,1
Estonia,1
Ireland,1
Lithuania,1
Luxembourg,1
Monaco,1
Algeria,1
New Zealand,1
Cambodia,1
North Macedonia,1
San Marino,1
Nepal,1
Sri Lanka,1
Afghanistan,1
Nigeria,1
Belarus,1
Belgium,1
