Month,Market share of sales
Dec '19,14.4%
Nov '19,13.5%
Oct '19,11.8%
Sep '19,9.2%
Aug '19,10.5%
Jul '19,10.1%
Jun '19,10.8%
May '19,8.2%
Apr '19,7.4%
Mar '19,8.4%
Feb '19,9.2%
Jan '19,9.8%
Dec '18,9.9%
Nov '18,8.5%
Oct '18,7.9%
Sep '18,7.1%
Aug '18,9.8%
Jul '18,11.5%
Jun '18,11.8%
May '18,13.5%
Apr '18,12.4%
Mar '18,13.6%
Feb '18,11.1%
Jan '18,12.5%
Dec '17,12.7%
Nov '17,12.7%
Oct '17,14%
Sep '17,11.2%
Aug '17,11.4%
Jul '17,8.6%
Jun '17,8%
May '17,8.4%
Apr '17,7.5%
Mar '17,8.1%
Feb '17,7%
Jan '17,10.2%
Dec '16,12.3%
Nov '16,13%
Oct '16,7.9%
Sep '16,6.3%
Aug '16,7.1%
Jul '16,9.2%
Jun '16,8.2%
May '16,6.9%
Apr '16,5.5%
Mar '16,6.4%
Feb '16,9.1%
Jan '16,11.4%
