Year,Inflation rate compared to previous year
2024*,5.04%
2023*,4.94%
2022*,4.79%
2021*,4.67%
2020*,4.19%
2019*,5.63%
2018,4.97%
2017,3.85%
2016,3.52%
2015,4%
2014,6.04%
2013,7.14%
2012,7.19%
2011,8.08%
2010,5.46%
2009,3.69%
2008,19.83%
2007,11.13%
2006,9.14%
2005,9.6%
2004,8.47%
2003,5.3%
2002,3.75%
2001,7.36%
2000,11.55%
1999,11.21%
1998,13.05%
1997,9.19%
1996,11.65%
1995,11.12%
1994,3.7%
1993,13.5%
1992,21.9%
1991,116.6%
1990,"3,004.1%"
1989,"7,428.7%"
1988,"4,775.2%"
1987,"13,109.5%"
1986,885.2%
1985,571.4%
1984,141.3%
