"City, country (date), organisation",Number of fatalities
"Ghazni, Afghanistan (Taliban) (8/10/2018)",466
"Farah, Afghanistan (Taliban) (5/15/2018)",330
"Darengarh, Pakistan (Khorasan Chapter of the Islamic State) (7/13/2018)",150
"Kabul, Afghanistan (Taliban) (1/27/2018)",104
"Dila District, Afghanistan (Taliban) (10/12/2018)",77
"Kabul, Afghanistan (Khorasan Chapter of the Islamic State) (4/22/2018)",70
"Muhmand Dara District, Afghanistan (Unknown) (9/11/2018)",69
"Day Mirdad District, Afghanistan (Taliban) (9/9/2018)",62
"Maywand District, Afghanistan (Taliban) (9/11/2018)",61
"Farah, Afghanistan (Taliban) (5/12/2018)",61
"Gwaska, Nigeria (Attributed to ""Fulani Extremists"") (5/5/2018)",58
"Kabul, Afghanistan (Khorasan Chapter of the Islamic State) (11/20/2018)",56
"Sari Pul, Afghanistan (Taliban) (9/10/2018)",56
"Chora District, Afghanistan (Taliban) (8/3/2018)",51
"Pur Chaman District, Afghanistan (Taliban) (6/12/2018)",51
"Albu Kamal, Syria (ISIL) (6/8/2018)",51
"Azra District, Afghanistan (Taliban) (8/6/2018)",50
"Kabul, Afghanistan (Taliban) (12/24/2018)",47
"Oshan, Afghanistan (Taliban) (5/11/2018)",46
"Tagbara, Central African Republic (Anti-Balaka Militia) (4/3/2018)",44
