Metropolitan area,Crime severity index
"Regina, Saskatchewan",126.63
"Winnipeg, Manitoba",119.43
"Saskatoon, Saskatchewan",118.01
"Edmonton, Alberta",114.89
"Kelowna, British Columbia",100.66
"Moncton, New Brunswick",99.68
"Thunder Bay, Ontario",94.29
"Brantford, Ontario",92.78
"Abbotsford-Mission, British Columbia",90.08
"Calgary, Alberta",88.1
"Windsor, Ontario",85.46
"Vancouver, British Columbia",84.3
"Greater Sudbury, Ontario",79.54
"London, Ontario",76.34
"St. John's, Newfoundland and Labrador",74.97
"Kitchener-Cambridge-Waterloo, Ontario",73.82
"St.Catharines-Niagara, Ontario",69.0
"Halifax, Nova Scotia",67.33
"Kingston, Ontario",67.31
"Guelph, Ontario",66.93
"Victoria, British Columbia",63.61
"Montréal, Quebec",58.29
"Hamilton, Ontario",57.36
"Ottawa-Gatineau, Quebec part",56.36
"Ottawa-Gatineau, Ontario/Quebec",54.89
"Trois-Rivières, Quebec",54.49
"Ottawa-Gatineau, Ontario part",54.43
"Saint John, New Brunswick",54.32
"Toronto, Ontario",53.64
"Sherbrooke, Quebec",51.66
"Barrie, Ontario",50.42
"Saguenay, Quebec",48.51
"Peterborough, Ontario",48.19
"Québec, Quebec",44.71
