Channel Name,Market share
svt1,32.9%
TV4,22.2%
Kanal5,6%
svt2,5.3%
TV3,3.2%
Sjuan,3.2%
TV8,2.8%
TV12,2.2%
TV6,2.2%
svtB,1.7%
Kanal 9,1.5%
Kanal 11,1.4%
Discovery,1.3%
TV10,1.2%
Kunskapskanal,1.1%
TLC,0.8%
Investigation Discovery,0.5%
National Geographic,0.4%
TV4 Film,0.4%
Eurosport,0.4%
TV4 Fakta,0.4%
TV4 Guld,0.4%
svt24,0.3%
History,0.3%
Paramount Network,0.3%
FOX,0.3%
Sportkanalen,0.3%
Nickelodeon,0.2%
Boomerang,0.2%
Eurosport 2 Sweden,0.1%
Cartoon Network Sweden,0.1%
Disney Channel,0.1%
Cartoon Network Nordic,0%
