Travel Company,Number of employees
Expedia Inc.*,20000
Flight Centre Travel Group USA,19267
The Priceline Group,18000
Carlson Wagonlit Travel,17100
BCD Travel,13000
HRG North America,12000
American Express Global Business Travel,12000
Travel Leaders Group,8360
AAA Travel,4209
JTB Americas Group,2242
Corporate Travel Management,2200
International Cruise & Excursions (ICE),2134
Altour,1596
Travel and Transport,1328
World Travel Holdings,1217
Direct Travel,1200
Frosch,1050
Ovation Travel Group,550
Omega World Travel,530
World Travel,505
