Company (Country of origin),Retail revenue in billion U.S. dollars
"Wal-Mart Stores, Inc (United States)",514.41
Costco Wholesale Corporation (United States),141.58
"Amazon.com, Inc. (United States)",140.21
Schwarz Group (Germany),121.58
The Kroger Co. (United States)*,117.53
"Walgreens Boots Alliance, Inc (United States)",110.67
"The Home Depot, Inc. (United States)",108.2
Aldi Einkauf GmbH & Co. oHG (Germany)*,106.18
CVS Health Corporation (United States),83.99
Tesco PLC (United Kingdom),82.8
Target Corporation (United States),74.43
Ahold Delhaize (Netherlands),74.08
"Aeon Co., Ltd. (Japan)",71.45
"Lowe's Companies, Inc. (United States)",71.31
"JD.com, Inc (China)",62.88
Edeka Group (Germany)**,62.05
"Albertsons Companies, Inc. (United States)",60.54
Auchan Holding SA (France),59.3
"Seven & i Holdings Co., Ltd. (Japan)**",59.1
Rewe Group (Germany)**,56.44
Centres Distributeurs E. Leclerc (France)***,44.48
Casino Guichard-Perrachon S.A. (France)**,43.18
"Best Buy Co., Inc. (United States)",42.88
Woolworths Limited (Australia),41.69
The IKEA Group (INGKA Holding B.V.) (Netherlands),41.47
"The TJX Companies, Inc. (United States)",38.97
LVMH Moët Hennessy-Louis Vuitton S.A. (France),37.85
J Sainsbury plc (United Kingdom),37.52
ITM Développement International (Intermarché) (France)***,36.63
"Publix Super Markets, Inc. (United States)",36.4
Loblaw Companies Limited (Canada)**,35.36
"Suning.com Co., Ltd. (China)",35.16
"Inditex, S.A. (Spain)**",30.67
Metro Ag (Germany)*,28.72
Coles Group Limited,27.29
"Mercadona, S.A. (Spain)",26.26
Dollar General Corporation (United States),25.63
Ceconomy AG (Germany),25.48
Migros-Genossenschafts Bund (Switzerland) ***,25.13
H.E. Butt Grocery Company (United States)*,25.0
"Macy's, Inc. (United States)**",24.97
X5 Retail Group N.V. (Russia),24.39
H & M Hennes & Mauritz AB (Sweden)**,24.32
"Système U, Centrale Nationale (France)***",23.57
Wm Morrison Supermarkets PLC (United Kingdom),23.51
Coop Group (Switzerland)***,23.47
Groupe Adeo SA (France)***,23.16
"Dollar Tree, Inc. (United States)",22.82
A.S. Watson Group (Hong Kong SAR)**,21.56
"Jerónimo Martins, SGPS, S.A. (Portugal)",20.45
