Industry Area,Share of gross domestic product
Manufacturing,19.86%
"Wholesale and retail trade, repair of motor vehicles and motorcycles",13.02%
"Agriculture, forestry and fishing",12.81%
Construction,10.53%
Mining and quarrying,8.08%
Transportation and storage,5.37%
Financial and insurance activities,4.15%
Information and communication,3.77%
"Public administration and defence, compulsory social security",3.65%
Education,3.25%
Accommodation and food service activities,2.78%
Real estate activities,2.74%
Other services activities,1.81%
Business activities,1.8%
Electricity and gas,1.19%
Human health and social work activities,1.06%
"Water, sewage and waste management",0.07%
