Month,Price in GBP per kilogram
Nov '19,2.34
Oct '19,2.61
Aug '19,1.8
Jul '19,1.67
Jun '19,1.54
May '19,1.65
Nov '18,0.93
Oct '18,1.24
Sep '18,1.55
Aug '18,1.0
Jul '18,1.15
Jun '18,1.43
May '18,2.09
Apr '18,3.24
Dec '17,1.05
Nov '17,0.84
Oct '17,2.49
Sep '17,2.19
Aug '17,2.31
Jul '17,1.92
Jun '17,2.31
May '17,2.97
Apr '17,3.68
Dec '16,1.9
Nov '16,2.43
Oct '16,2.3
Sep '16,2.39
Aug '16,2.26
Jul '16,2.13
Jun '16,1.65
May '16,2.15
Apr '16,2.17
Nov '15,2.31
Oct '15,2.81
Sep '15,2.11
Aug '15,1.84
Jul '15,2.04
Jun '15,2.02
May '15,2.57
Apr '15,2.91
