State,Number of veterans
California,1538797
Florida,1439606
Texas,1435787
Pennsylvania,745909
Ohio,680310
New York,678833
Virginia,670273
North Carolina,667035
Georgia,609508
Illinois,559656
Michigan,530572
Washington,520226
Arizona,496239
Tennessee,429585
Missouri,384150
Indiana,380079
Colorado,371081
South Carolina,363194
Maryland,363178
Wisconsin,326288
Alabama,324612
New Jersey,308012
Minnesota,294377
Massachusetts,292644
Oregon,279132
Oklahoma,266513
Kentucky,261887
Louisiana,247339
Nevada,211114
Arkansas,187903
Iowa,184032
Kansas,178959
Connecticut,165029
Mississippi,162926
New Mexico,146147
West Virginia,126473
Idaho,121327
Utah,120410
Nebraska,116754
Maine,105385
Hawaii,102915
New Hampshire,93957
Montana,84392
Alaska,67635
Delaware,66896
Rhode Island,54848
South Dakota,54691
Wyoming,45252
North Dakota,45135
Vermont,33986
District of Columbia,23254
