Players,Number of games played
Pete Rose,3562
Carl Yastrzemski,3308
Hank Aaron,3298
Rickey Henderson,3081
Ty Cobb,3034
Eddie Murray,3026
Stan Musial,3026
Cal Ripken,3001
Willie Mays,2992
Barry Bonds,2986
Dave Winfield,2973
Omar Vizquel,2968
Rusty Staub,2951
Adrian Beltre,2933
Brooks Robinson,2896
Robin Yount,2856
Craig Biggio,2850
Al Kaline,2834
Rafael Palmeiro,2831
Harold Baines,2830
Eddie Collins,2826
Albert Pujols,2823
Reggie Jackson,2820
Frank Robinson,2808
Honus Wagner,2794
Tris Speaker,2789
Alex Rodriguez,2784
Tony Perez,2777
Derek Jeter,2747
Mel Ott,2730
