Industry,Percentage of GDP
"Finance, insurance, real estate, rental, and leasing",20.7%
Professional and business services,12.6%
Government,12.2%
Manufacturing,11.4%
"Educational services, health care, and social assistance",8.7%
Wholesale trade,6%
Retail trade,5.5%
Information,5.5%
Construction,4.1%
"Arts, entertainment, recreation, accommodation, and food services",4.1%
Transportation and warehousing,3.2%
"Other services, except government",2.1%
Mining,1.6%
Utilities,1.6%
"Agriculture, forestry, fishing, and hunting",0.8%
