Month,Number of switches in thousands
Dec '19,72.51
Nov '19,90.09
Oct '19,99.51
Sep '19,78.94
Aug '19,66.95
Jul '19,81.86
Jun '19,83.46
May '19,84.91
Apr '19,78.61
Mar '19,92.99
Feb '19,100.35
Jan '19,71.85
Dec '18,61.89
Nov '18,88.5
Oct '18,85.52
Sep '18,62.1
Aug '18,62.29
Jul '18,69.24
Jun '18,79.52
May '18,77.98
Apr '18,68.84
Mar '18,102.27
Feb '18,102.99
Jan '18,68.21
Dec '17,64.45
Nov '17,110.77
Oct '17,72.47
Sep '17,60.3
Aug '17,73.48
Jul '17,84.04
Jun '17,77.09
May '17,72.9
Apr '17,68.16
Mar '17,95.99
Feb '17,90.4
Jan '17,61.91
Dec '16,60.06
Nov '16,77.98
Oct '16,70.35
Sep '16,71.16
Aug '16,77.61
Jul '16,85.59
Jun '16,84.59
May '16,79.23
Apr '16,94.18
Mar '16,124.62
Feb '16,110.34
Jan '16,74.72
