Year,Effective rate
12/1/2019,1.55%
11/1/2019,1.55%
10/1/2019,1.83%
9/1/2019,2.04%
8/1/2019,2.13%
7/1/2019,2.4%
6/1/2019,2.38%
5/1/2019,2.39%
4/1/2019,2.42%
3/1/2019,2.41%
2/1/2019,2.4%
1/1/2019,2.4%
12/1/2018,2.27%
11/1/2018,2.2%
10/1/2018,2.19%
9/1/2018,1.95%
8/1/2018,1.91%
7/1/2018,1.91%
6/1/2018,1.82%
5/1/2018,1.7%
4/1/2018,1.69%
3/1/2018,1.51%
2/1/2018,1.42%
1/1/2018,1.41%
12/1/2017,1.3%
11/1/2017,1.16%
10/1/2017,1.15%
9/1/2017,1.15%
8/1/2017,1.16%
7/1/2017,1.15%
6/1/2017,1.04%
5/1/2017,0.91%
4/1/2017,0.9%
3/1/2017,0.79%
2/1/2017,0.66%
1/1/2017,0.65%
12/1/2016,0.54%
11/1/2016,0.41%
10/1/2016,0.4%
9/1/2016,0.4%
8/1/2016,0.4%
7/1/2016,0.39%
6/1/2016,0.38%
5/1/2016,0.37%
4/1/2016,0.37%
3/1/2016,0.36%
2/1/2016,0.38%
1/1/2016,0.34%
12/1/2015,0.24%
11/1/2015,0.12%
10/1/2015,0.12%
9/1/2015,0.14%
8/1/2015,0.14%
7/1/2015,0.13%
6/1/2015,0.13%
5/1/2015,0.12%
4/1/2015,0.12%
3/1/2015,0.11%
2/1/2015,0.11%
1/1/2015,0.11%
12/1/2014,0.12%
11/1/2014,0.09%
10/1/2014,0.09%
9/1/2014,0.09%
8/1/2014,0.09%
7/1/2014,0.09%
6/1/2014,0.1%
5/1/2014,0.09%
4/1/2014,0.09%
3/1/2014,0.08%
2/1/2014,0.07%
1/1/2014,0.07%
12/1/2013,0.09%
11/1/2013,0.08%
10/1/2013,0.09%
9/1/2013,0.08%
8/1/2013,0.08%
7/1/2013,0.09%
6/1/2013,0.09%
5/1/2013,0.11%
4/1/2013,0.15%
3/1/2013,0.14%
2/1/2013,0.15%
1/1/2013,0.14%
12/1/2012,0.16%
11/1/2012,0.16%
10/1/2012,0.16%
9/1/2012,0.14%
8/1/2012,0.13%
7/1/2012,0.16%
6/1/2012,0.16%
5/1/2012,0.16%
4/1/2012,0.14%
3/1/2012,0.13%
2/1/2012,0.1%
1/1/2012,0.08%
12/1/2011,0.07%
11/1/2011,0.08%
10/1/2011,0.07%
9/1/2011,0.08%
8/1/2011,0.1%
7/1/2011,0.07%
6/1/2011,0.09%
5/1/2011,0.09%
4/1/2011,0.1%
3/1/2011,0.14%
2/1/2011,0.16%
1/1/2011,0.17%
12/1/2010,0.18%
11/1/2010,0.19%
10/1/2010,0.19%
9/1/2010,0.19%
8/1/2010,0.19%
7/1/2010,0.18%
6/1/2010,0.18%
5/1/2010,0.2%
4/1/2010,0.2%
3/1/2010,0.16%
2/1/2010,0.13%
1/1/2010,0.11%
12/1/2009,0.12%
11/1/2009,0.12%
10/1/2009,0.12%
9/1/2009,0.15%
8/1/2009,0.16%
7/1/2009,0.16%
6/1/2009,0.21%
5/1/2009,0.18%
4/1/2009,0.15%
3/1/2009,0.18%
2/1/2009,0.22%
1/1/2009,0.15%
12/1/2008,0.16%
11/1/2008,0.39%
10/1/2008,0.97%
9/1/2008,1.81%
8/1/2008,2%
7/1/2008,2.01%
6/1/2008,2%
5/1/2008,1.98%
4/1/2008,2.28%
3/1/2008,2.61%
2/1/2008,2.98%
1/1/2008,3.94%
12/1/2007,4.24%
11/1/2007,4.49%
10/1/2007,4.76%
9/1/2007,4.94%
8/1/2007,5.02%
7/1/2007,5.26%
6/1/2007,5.25%
5/1/2007,5.25%
4/1/2007,5.25%
3/1/2007,5.26%
2/1/2007,5.26%
1/1/2007,5.25%
12/1/2006,5.24%
11/1/2006,5.25%
10/1/2006,5.25%
9/1/2006,5.25%
8/1/2006,5.25%
7/1/2006,5.24%
6/1/2006,4.99%
5/1/2006,4.94%
4/1/2006,4.79%
3/1/2006,4.59%
2/1/2006,4.49%
1/1/2006,4.29%
12/1/2005,4.16%
11/1/2005,4%
10/1/2005,3.78%
9/1/2005,3.62%
8/1/2005,3.5%
7/1/2005,3.26%
6/1/2005,3.04%
5/1/2005,3%
4/1/2005,2.79%
3/1/2005,2.63%
2/1/2005,2.5%
1/1/2005,2.28%
12/1/2004,2.16%
11/1/2004,1.93%
10/1/2004,1.76%
9/1/2004,1.61%
8/1/2004,1.43%
7/1/2004,1.26%
6/1/2004,1.03%
5/1/2004,1%
4/1/2004,1%
3/1/2004,1%
2/1/2004,1.01%
1/1/2004,1%
12/1/2003,0.98%
11/1/2003,1%
10/1/2003,1.01%
9/1/2003,1.01%
8/1/2003,1.03%
7/1/2003,1.01%
6/1/2003,1.22%
5/1/2003,1.26%
4/1/2003,1.26%
3/1/2003,1.25%
2/1/2003,1.26%
1/1/2003,1.24%
12/1/2002,1.24%
11/1/2002,1.34%
10/1/2002,1.75%
9/1/2002,1.75%
8/1/2002,1.74%
7/1/2002,1.73%
6/1/2002,1.75%
5/1/2002,1.75%
4/1/2002,1.75%
3/1/2002,1.73%
2/1/2002,1.74%
1/1/2002,1.73%
12/1/2001,1.82%
11/1/2001,2.09%
10/1/2001,2.49%
9/1/2001,3.07%
8/1/2001,3.65%
7/1/2001,3.77%
6/1/2001,3.97%
5/1/2001,4.21%
4/1/2001,4.8%
3/1/2001,5.31%
2/1/2001,5.49%
1/1/2001,5.98%
12/1/2000,6.4%
11/1/2000,6.51%
10/1/2000,6.51%
9/1/2000,6.52%
8/1/2000,6.5%
7/1/2000,6.54%
6/1/2000,6.53%
5/1/2000,6.27%
4/1/2000,6.02%
3/1/2000,5.85%
2/1/2000,5.73%
1/1/2000,5.45%
