Month,Sales in billion U.S. dollars
Jan. '12,2.77
Febr. '12,2.71
Mar. '12,2.83
Apr '12,2.82
May '12,2.84
Jun. '12,2.82
Jul. '12,2.82
Aug '12,2.77
Sep '12,2.79
Oct '12,2.79
Nov '12,2.8
Dec '12,2.63
Jan '13,2.65
Feb '13,2.69
Mar '13,2.84
Apr '13,2.83
May '13,2.84
Jun '13,2.84
Jul '13,2.85
Aug '13,2.91
Sep '13,2.98
Oct '13,3.05
Nov '13,3.08
Dec '13,2.96
Jan '14,2.95
Feb '14,2.96
Mar '14,3.08
Apr '14,3.06
May '14,3.13
Jun '14,3.18
Jul '!4,3.27
Aug '14,3.22
Sep '14,3.21
Oct '14,3.21
Nov '14,3.19
Dec '14,3.01
Jan '15,2.95
Feb '15,2.88
Mar '15,2.96
Apr '15,2.89
May '15,2.87
Jun '15,2.83
Jul '15,2.63
Aug '15,2.81
Sep '15,2.87
Oct '15,2.91
Nov '15,2.93
Dec '15,2.77
Jan '16,2.72
Feb '16,2.66
Mar '16,2.67
Apr '16,2.64
May '16,2.63
Jun '16,2.68
Jul '16,2.7
Aug '16,2.71
Sep '16,2.76
Oct '16,2.82
Nov '16,2.88
Dec '16,2.8
Jan '17,2.84
Feb '17,2.82
Mar '17,2.96
Apr '17,2.99
May '17,3.11
Jun '17,3.16
Jul '17,3.2
Aug '17,3.22
Sep '17,3.28
Oct '17,3.36
Nov '17,3.42
Dec '17,3.37
Jan '18,3.41
Feb '18,3.44
Mar '18,3.6
Apr '18,3.65
May '18,3.7
Jun '18,3.67
Jul '18,3.58
Aug '18,3.53
Sep '18,3.57
Oct '18,3.64
Nov '18,3.64
Dec '18,3.47
Jan '19,3.42
Feb '19,3.34
Mar '19,3.36
Apr '19,3.37
May '19,3.35
Jun '19,3.27
Jul '19,3.28
Aug '19,3.27
Sep '19,3.36
Oct '19,3.37
Nov '19,3.35
Dec '19,3.2
