State/Province,Number of victims
"Norway, Oslo/Utoeya (2011)",77
"Australia, Port Arthur (1996)",35
"USA, Blacksburg, Virginia (2007)",32
"USA, Newtown, Connecticut (2012)",27
"USA, Killeen, Texas (1991)",23
"USA, San Ysidro, California (1984)",21
Brazil (1997),17
"Scotland, Dunblane (1996)",17
"Germany, Erfurt (2002)",16
"England, Hungerford (1987)",16
"USA, Austin, Texas (1966)",16
"Germany, Winnenden (2009)",15
"Switzerland, Zug (2001)",14
"USA, Edmond, Oklahoma (1986)",14
"New Zealand, Aramoana (1990)",13
"USA, Fort Hood, Texas (2009)",13
"USA, Littleton, Colorado (1999)",13
"USA, Binghampton, New York (2009)",13
"France, Toulon (1995)",13
"USA, Aurora, Texas (2012)",12
"Azerbaijan, Baku (2009)",12
"USA, Atlanta, Georgia (1999)",12
"USA, Jacksonville, Florida (1990)",10
"Finland, Kauhajok (2008)",10
"USA, Alabama (2009)",10
"USA, Red Lake, Minnesota (2005)",9
"USA, Los Angeles, California (2008)",9
"Canada, Montreal (1989)",9
"France, Nanterre (2002)",8
"Finland, Tuusula (2007)",8
"Japan, Osaka (2001)",8
"USA, Fullerton, California (1976)",7
