Year,Average number of people per household
2019,2.52
2018,2.53
2017,2.54
2016,2.53
2015,2.54
2014,2.54
2013,2.54
2012,2.55
2011,2.58
2010,2.59
2009,2.57
2008,2.56
2007,2.56
2006,2.57
2005,2.57
2004,2.57
2003,2.57
2002,2.58
2001,2.58
2000,2.62
1999,2.61
1998,2.62
1997,2.64
1996,2.65
1995,2.65
1994,2.67
1993,2.63
1992,2.62
1991,2.63
1990,2.63
1989,2.62
1988,2.64
1987,2.66
1986,2.67
1985,2.69
1984,2.71
1983,2.73
1982,2.72
1981,2.73
1980,2.76
1979,2.78
1978,2.81
1977,2.86
1976,2.89
1975,2.94
1974,2.97
1973,3.01
1972,3.06
1971,3.11
1970,3.14
1960,3.33
