Metropolitan Areas,Number of residents in thousands
"New York-Newark-Jersey City, NY-NJ-PA",19979.48
"Los Angeles-Long Beach-Anaheim, CA",13291.49
"Chicago-Naperville-Elgin, IL-IN-WI",9498.72
"Dallas-Fort Worth-Arlington, TX",7539.71
"Houston-The Woodlands-Sugar Land, TX",6997.38
"Washington-Arlington-Alexandria, DC-VA-MD-WV",6249.95
"Miami-Fort Lauderdale-West Palm Beach, FL",6198.78
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6096.37
"Atlanta-Sandy Springs-Roswell, GA",5949.95
"Boston-Cambridge-Newton, MA-NH",4875.39
"Phoenix-Mesa-Scottsdale, AZ",4857.96
"San Francisco-Oakland-Hayward, CA",4729.48
"Riverside-San Bernardino-Ontario, CA",4622.36
"Detroit-Warren-Dearborn, MI",4326.44
"Seattle-Tacoma-Bellevue, WA",3939.36
"Minneapolis-St. Paul-Bloomington, MN-WI",3629.19
"San Diego-Carlsbad, CA",3343.36
"Tampa-St. Petersburg-Clearwater, FL",3142.66
"Denver-Aurora-Lakewood, CO",2932.42
"St. Louis, MO-IL",2805.47
"Baltimore-Columbia-Towson, MD",2802.79
"Orlando-Kissimmee-Sanford, FL",2572.96
"Charlotte-Concord-Gastonia, NC-SC",2569.21
"San Antonio-New Braunfels, TX",2518.04
"Portland-Vancouver-Hillsboro, OR-WA",2478.81
"Sacramento--Roseville--Arden-Arcade, CA",2345.21
"Pittsburgh, PA",2324.74
"Las Vegas-Henderson-Paradise, NV",2231.65
"Cincinnati, OH-KY-IN",2190.21
"Austin-Round Rock, TX",2168.32
"Kansas City, MO-KS",2143.65
"Columbus, OH",2106.54
"Cleveland-Elyria, OH",2057.01
"Indianapolis-Carmel-Anderson, IN",2048.7
"San Jose-Sunnyvale-Santa Clara, CA",1999.11
"Nashville-Davidson--Murfreesboro--Franklin, TN",1930.96
"Virginia Beach-Norfolk-Newport News, VA-NC",1728.73
"Providence-Warwick, RI-MA",1621.34
"Milwaukee-Waukesha-West Allis, WI",1576.11
"Jacksonville, FL",1534.7
"Oklahoma City, OK",1396.45
"Raleigh, NC",1362.54
"Memphis, TN-MS-AR",1350.62
"Richmond, VA",1306.17
"Louisville/Jefferson County, KY-IN",1297.3
"New Orleans-Metairie, LA",1270.4
"Salt Lake City, UT",1222.54
"Hartford-West Hartford-East Hartford, CT",1206.3
"Birmingham-Hoover, AL",1151.8
"Buffalo-Cheektowaga-Niagara Falls, NY",1130.15
