Year,Average number of people per family
2019,3.14
2018,3.14
2017,3.14
2016,3.14
2015,3.14
2014,3.13
2013,3.12
2012,3.13
2011,3.18
2010,3.16
2009,3.15
2008,3.15
2007,3.13
2006,3.13
2005,3.13
2004,3.13
2003,3.13
2002,3.15
2001,3.14
2000,3.17
1999,3.18
1998,3.18
1997,3.19
1996,3.2
1995,3.19
1994,3.2
1993,3.16
1992,3.17
1991,3.18
1990,3.17
1989,3.16
1988,3.17
1987,3.19
1986,3.21
1985,3.23
1984,3.24
1983,3.26
1982,3.25
1981,3.27
1980,3.29
1979,3.31
1978,3.33
1977,3.37
1976,3.39
1975,3.42
1974,3.44
1973,3.48
1972,3.53
1971,3.57
1970,3.58
1960,3.67
