Exports to,Export value in TIV in million constant (1990) U.S. dollars
Saudi Arabia,3353
Australia,918
United Arab Emirates,799
Japan,675
South Korea,612
Israel,480
Qatar,423
Norway,346
Morocco,333
Turkey,293
Italy,241
Afghanistan,206
Egypt,197
United Kingdom,194
Taiwan,129
Canada,121
Indonesia,90
Lebanon,85
Finland,76
Poland,72
Brazil,60
Greece,59
Singapore,56
Kuwait,55
Sri Lanka,54
France,50
Jordan,50
Thailand,49
Tunisia,46
Chile,44
Iraq,40
Denmark,32
India,25
Mexico,18
Netherlands,18
Slovakia,18
Bahrain,15
Montenegro,15
Spain,14
Jamaica,13
Romania,13
Pakistan,12
Ukraine,12
Latvia,11
Panama,11
Ethiopia,10
NATO,8
Philippines,8
Argentina,7
New Zealand,6
Portugal,6
Georgia,4
Nigeria,4
Algeria,3
Colombia,3
Guatemala,3
Botswana,2
Cameroon,2
Croatia,2
Czech Republic,2
Germany,2
Senegal,2
Uzbekistan,2
Belgium,1
Honduras,1
