Quarter,Number of customers in millions
Q4 '19,86.05
Q3 '19,84.18
Q2 '19,83.05
Q1 '19,81.3
Q4 '18,79.65
Q3 '18,77.25
Q2 '18,75.62
Q1 '18,74.04
Q4 '17,72.59
Q3 '17,70.73
Q2 '17,69.56
Q1 '17,72.6
Q4 '16,71.46
Q3 '16,69.35
Q2 '16,67.38
Q1 '16,65.5
Q4 '15,63.28
Q3 '15,61.22
Q2 '15,58.91
Q1 '15,56.84
Q4 '14,55.02
Q3 '14,52.89
Q2 '14,50.55
Q1 '14,49.08
Q4' 13,46.68
Q3' 13,45.04
Q2' 13*,44.02
Q1' 13,33.97
Q4' 12,33.39
Q3' 12,33.33
Q2' 12,33.17
Q1' 12,33.37
Q4' 11,33.19
Q3' 11,33.71
Q2' 11,33.59
Q1' 11,33.64
Q4' 10,33.73
Q3' 10,33.76
Q2' 10,33.62
Q1' 10,33.71
