Player,Number of hits
Pete Rose,4256
Ty Cobb,4189
Hank Aaron,3771
Stan Musial,3630
Tris Speaker,3514
Derek Jeter,3465
Cap Anson,3435
Honus Wagner,3420
Carl Yastrzemski,3419
Paul Molitor,3319
Eddie Collins,3315
Willie Mays,3283
Eddie Murray,3255
Nap Lajoie,3243
Albert Pujols,3202
Cal Ripken,3184
Adrian Beltre,3166
George Brett,3154
Paul Waner,3152
Robin Yount,3142
Tony Gwynn,3141
Alex Rodriguez,3115
Dave Winfield,3110
Ichiro Suzuki,3089
Craig Biggio,3060
Rickey Henderson,3055
Rod Carew,3053
Lou Brock,3023
Rafael Palmeiro,3020
Wade Boggs,3010
Al Kaline,3007
Roberto Clemente,3000
