NBA Teams,Revenue in million U.S. dollars
New York Knicks,472
Golden State Warriors,440
Los Angeles Lakers,434
Houston Rockets,348
Toronto Raptors,334
Dallas Mavericks,307
Boston Celtics,304
Brooklyn Nets,304
Chicago Bulls,301
Philadelphia 76ers,300
Cleveland Cavaliers,300
Miami Heat,294
Portland Trail Blazers,287
Sacramento Kings,286
San Antonio Spurs,285
Milwaukee Bucks,283
Los Angeles Clippers,282
Washington Wizards,269
Oklahoma City Thunder,258
Utah Jazz,258
Detroit Pistons,255
Denver Nuggets,252
Atlanta Hawks,251
Phoenix Suns,246
Orlando Magic,244
Indiana Pacers,243
Charlotte Hornets,240
Minnesota Timberwolves,234
Memphis Grizzlies,224
New Orleans Pelicans,224
