Country,Index points (out of 100)
North Korea,94
Afghanistan,93
Somalia,92
Libya,90
Pakistan,88
Eritrea,87
Iran,85
Sudan,85
Yemen,85
India,83
Syria,82
Nigeria,80
Saudi Arabia,79
Maldives,78
Iraq,76
Egypt,76
Algeria,73
Uzbekistan,73
Myanmar,73
Laos,72
Vietnam,72
Turkmenistan,70
China,70
Mauritania,68
Central African Republic,68
Morocco,66
Qatar,66
Burkina Faso,66
Mali,66
Sri Lanka,65
Tajikistan,65
Nepal,64
Jordan,64
Tunisia,64
Kazakhstan,64
Turkey,63
Brunei,63
Bangladesh,63
Ethiopia,63
Malaysia,62
Colombia,62
Oman,62
Kuwait,62
Kenya,61
Bhutan,61
Russian Federation,60
United Arab Emirates,60
Cameroon,60
Indonesia,60
Niger,60
