State,Number of buses
California,99917
New York,80446
Texas,67143
Florida,59596
Pennsylvania,55935
Ohio,41255
Georgia,36418
Illinois,34359
Virginia,34268
North Carolina,32493
Louisiana,29160
Tennessee,29158
Missouri,27180
New Jersey,25097
Washington,23566
Maryland,22972
Indiana,20726
Minnesota,19980
South Carolina,17728
Oregon,17691
Wisconsin,15567
Nebraska,13564
Massachusetts,13498
Colorado,13305
Arkansas,11941
Connecticut,11378
Kentucky,10759
Iowa,9284
Arizona,9051
Michigan,8737
Alaska,8080
Mississippi,8018
New Mexico,6278
Kansas,6228
Utah,6108
Alabama,5682
District of Columbia,4885
Montana,4702
Maine,4339
Wyoming,4219
Idaho,3870
Delaware,3763
West Virginia,3342
North Dakota,3331
Nevada,3198
Oklahoma,3155
Hawaii,3033
New Hampshire,2871
South Dakota,2614
Rhode Island,2273
Vermont,1070
