Us City,Percentage of poor people
"Detroit city, Michigan",33.4%
"Philadelphia city, Pennsylvania",24.5%
"Houston city, Texas",20.4%
"El Paso city, Texas",20.1%
"San Antonio city, Texas",20%
"Columbus city, Ohio",19.9%
"Boston city, Massachusetts",18.2%
"Dallas city, Texas",18%
"Chicago city, Illinois",17.4%
"New York city, New York",17.3%
"Los Angeles city, California",16.5%
"Indianapolis city (balance), Indiana",16.5%
"Washington city, District of Columbia",16.2%
"Nashville-Davidson metropolitan government (balance), Tennessee",15.6%
"Phoenix city, Arizona",15.6%
"Fort Worth city, Texas",15.6%
"Jacksonville city, Florida",15%
"Austin city, Texas",13.3%
"San Diego city, California",12.9%
"Charlotte city, North Carolina",12.8%
"Portland city, Oregon",11.5%
"Denver city, Colorado",11.3%
"Seattle city, Washington",11%
"San Francisco city, California",10%
"San Jose city, California",8.3%
