NBA Teams,Average player salary in million U.S. dollars
Oklahoma City Thunder,10.33
Golden State Warriors,10.29
Washington Wizards,10.04
Toronto Raptors,9.97
Houston Rockets,9.85
Miami Heat,9.26
Charlotte Hornets,8.59
Minnesota Timberwolves,8.51
Boston Celtics,8.44
Portland Trail Blazers,8.43
Cleveland Cavaliers,8.26
Memphis Grizzlies,8.02
San Antonio Spurs,7.88
Detroit Pistons,7.86
Utah Jazz,7.81
Denver Nuggets,7.76
New Orleans Pelicans,7.55
Los Angeles Clippers,7.47
Orlando Magic,7.38
Milwaukee Bucks,7.2
Chicago Bulls,6.95
Dallas Mavericks,6.88
Philadelphia 76ers,6.84
Indiana Pacers,6.77
Phoenix Suns,6.44
Los Angeles Lakers,6.32
New York Knicks,6.14
Brooklyn Nets,6.08
Sacramento Kings,5.64
Atlanta Hawks,5.22
