Year,Male,Female
2028-29*,855.0,1153.0
2027-28*,855.0,1153.0
2026-27*,853.0,1152.0
2025-26*,850.0,1147.0
2024-25*,847.0,1143.0
2023-24*,844.0,1140.0
2022-23*,843.0,1137.0
2021-22*,842.0,1136.0
2020-21*,842.0,1134.0
2019-20*,842.0,1133.0
2018-19*,839.0,1129.0
2017-18*,837.0,1126.0
2016-17,836.05,1119.99
2015-16,821.75,1099.0
2014-15,812.69,1082.28
2013-14,801.91,1068.25
2012-13,787.41,1052.97
2011-12,765.77,1026.39
2010-11,734.16,981.89
2009-10,706.66,943.26
2008-09,685.42,915.98
2007-08,668.18,895.55
2006-07,649.82,874.91
2005-06,630.5,854.6
2004-05,613.0,826.26
2003-04,595.43,804.12
2002-03,573.26,775.55
2001-02,549.82,742.08
2000-01,531.84,712.33
1999-00,530.37,707.51
1998-99,519.96,682.28
1997-98,519.96,664.45
1996-97,520.52,652.36
1995-96,522.45,642.34
1994-95,526.13,634.0
1993-94,532.42,636.85
1992-93,532.88,632.3
1991-92,520.81,615.74
1990-91,504.05,590.49
1989-90,491.7,559.65
1988-89,483.35,535.41
1987-88,477.2,517.63
1986-87,480.78,510.48
1985-86,485.92,501.9
1984-85,482.53,496.95
1983-84,482.32,491.99
1982-83,479.14,490.37
1981-82,473.36,479.63
1980-81,469.88,465.26
1979-80,473.61,455.81
1978-79,477.34,444.05
1977-78,487.35,433.86
1976-77,495.55,424.0
1975-76,504.93,420.82
1974-75,504.84,418.09
1973-74,527.31,418.46
1972-73,518.19,404.17
1971-72,500.59,386.68
1970-71,475.59,364.14
1969-70,451.1,341.22
1959-60,254.06,138.38
1949-50,328.84,103.22
