Year,Public,Private
2028*,14.98,5.33
2027*,14.97,5.33
2026*,14.94,5.32
2025*,14.88,5.3
2024*,14.82,5.28
2023*,14.77,5.27
2022*,14.74,5.26
2021*,14.71,5.25
2020*,14.69,5.24
2019*,14.67,5.24
2018*,14.61,5.22
2017,14.56,5.1
2016,14.59,5.26
2015,14.57,5.42
2014,14.65,5.55
2013,14.75,5.63
2012,14.88,5.76
2011,15.12,5.89
2010,15.14,5.88
2009,14.81,5.5
2008,13.97,5.13
2007,13.49,4.76
2006,13.18,4.58
2005,13.02,4.47
2004,12.98,4.29
2003,12.86,4.05
2002,12.75,3.86
2001,12.23,3.69
2000,11.75,3.56
1999,11.38,3.47
1998,11.14,3.37
1997,11.2,3.31
1996,11.12,3.25
1995,11.09,3.17
1994,11.13,3.15
1993,11.19,3.12
1992,11.38,3.1
1991,11.31,3.05
1990,10.84,2.97
1989,10.58,2.96
1988,10.16,2.89
1987,9.97,2.79
1986,9.71,2.79
1985,9.48,2.77
1984,9.48,2.76
1983,9.68,2.78
1982,9.7,2.73
1981,9.65,2.72
1980,9.46,2.64
1979,9.04,2.53
1978,8.79,2.47
1977,8.85,2.44
1976,8.65,2.36
1975,8.83,2.35
1974,7.99,2.24
1973,7.42,2.18
1972,7.07,2.14
1971,6.8,2.14
1970,6.43,2.15
1969,5.9,2.11
1968,5.43,2.08
1967,4.82,2.1
1966,4.35,2.04
1965,3.97,1.95
