"Day, game (conference) (network)",Rating,Viewers (in thousands)
"August 25, 2018 North Carolina A&T vs. Jacksonville State (FCS) (ESPN)",0.35,564
"August 25, 2018 Wyoming vs. New Mexico (MWC) (ESPN2)",0.29,464
"September 1, 2018 Michigan vs. Notre Dame (B1G, IND) (NBC)",4,7091
"September 2, 2018 Miami vs. Louisiana State (ACC, SEC) (ABC)",3.8,6553
"September 3, 2018 Virginia Tech vs. Florida State (ACC) (ESPN)",3.4,5576
"September 1, 2018 Washington vs. Auburn (P12, SEC) (ABC)",3.2,5253
"September 1, 2018 Louisville vs. Alabama (ACC, SEC) (ABC)",2.7,4540
"September 1, 2018 Oregon State vs. Ohio State (P12, B1G) (ABC)",2.2,3487
"September 1, 2018 West Virginia vs. Tennessee (B12, SEC) (CBS)",1.6,2647
"September 1, 2018 Ole Miss vs. Texas Tech (SEC, B12) (ESPN)",1.2,1929
"September 1, 2018 College Gameday (ESPN)",-,1867
"August 30, 2018 Northwestern vs. Purdue (BIG) (ESPN)",1,1741
"August 31, 2018 Western Kentucky vs. Wisconsin (CUSA, BIG) (ESPN)",0.9,1409
"September 1, 2018 Florida Atlantic vs. Oklahoma (CUSA, B12) (FOX)",0.9,1385
"September 1, 2018 Brigham Young vs. Arizona (IND, P12) (ESPN)",0.75,1288
"September 1, 2018 Texas vs. Maryland (B12, BIG) (FS1)",0.8,1274
"September 1, 2018 Austin Peay vs. Georgia (FCS, SEC) (ESPN)",0.7,1193
"September 1, 2018 Cincinnati vs. California Los Angeles (AAC, P12) (ESPN)",0.6,1008
"September 1, 2018 North Carolina vs. California (ACC, P12) (FOX)",0.6,930
"August 31, 2018 San Diego State vs. Stanford (MWC, P12) (FS1)",0.38,596
"August 31, 2018 Army vs. Duke (IND, ACC) (ESPNU)",0.3,503
"August 30, 2018 Central Florida vs. Connecticut (AAC) (ESPNU)",0.26,444
"September 2, 2018 Prairie View A&M vs. North Carolina A&T (FCS) (ESPN2)",0.25,362
"August 30, 2018 Missouri State vs. Oklahoma State (MVC, B12) (FS1)",0.2,337
"September 1, 2018 Central Michigan vs. Kentucky (MAC, SEC) (ESPNU)",-,327
"September 1, 2018 Boise State vs. Troy (MWC, SUN) (ESPNEWS)",-,241
"September 1, 2018 James Madison vs. NC State (FCS, ACC)",-,240
"September 1, 2018 Texas San Antonia vs. Arizona State (CUSA, P12) (FS1)",-,234
