Latest available time period in brackets,Male,Female
United Kingdom (2005),25,40
Germany (2001-02),26,36
Canada (2010),25,37
Netherlands (2005-06),22,37
Australia (2006),22,36
Ireland (2005),16,40
Spain (2009-10),20,36
Japan (2011),16,37
Belgium (2005),22,31
Finland (2009-10),23,29
Denmark (2001),22,30
Italy (2008),18,33
New Zealand (2009-10),17,30
Estonia (2009-2010),20,27
Poland (2003-04),18,28
United States (2014),18,28
Hungary (1999-2000),17,26
France (2009),18,25
Austria (2008-09),16,26
China (2008),15,25
Norway (2010),16,23
Slovenia (2000-01),15,20
Mexico (2009),13,20
Portugal (1999),10,19
Sweden (2010),13,16
Turkey (2006),14,14
Korea (2009),6,20
India (1999),14,9
South Africa (2010),8,11
