Unnamed: 0,Births,Deaths
Alabama,58941,53238
Alaska,10445,4411
Arizona,81872,57758
Arkansas,37520,32588
California,471658,268189
Colorado,64382,38063
Connecticut,35221,31312
Delaware,10855,9178
District of Columbia,9560,4965
Florida,223630,203636
Georgia,129243,83098
Hawaii,17517,11390
Idaho,22181,14011
Illinois,149390,109721
Indiana,82170,65597
Iowa,38430,30530
Kansas,36519,27063
Kentucky,54752,48212
Louisiana,61018,45804
Maine,12298,14676
Maryland,71641,49926
Massachusetts,70702,58803
Michigan,111426,97602
Minnesota,68595,44371
Mississippi,37357,32280
Missouri,73034,61876
Montana,11799,10200
Nebraska,25821,16878
Nevada,35756,24657
New Hampshire,12116,12504
New Jersey,101250,74846
New Mexico,23767,18673
New York,229737,155358
North Carolina,120125,93157
North Dakota,10737,6415
Ohio,136832,123648
Oklahoma,50214,40452
Oregon,43631,36656
Pennsylvania,137745,135656
Rhode Island,10638,10157
South Carolina,57029,49441
South Dakota,12134,7996
Tennessee,81016,70096
Texas,382050,198106
Utah,48585,18035
Vermont,5655,6007
Virginia,100391,68579
Washington,87562,56995
West Virginia,18675,23276
Wisconsin,64975,52681
Wyoming,6903,4768
