Unnamed: 0,Minimum level,Maximum level
Beijing,24.0,24.0
Shanghai,21.0,21.0
Tianjin,20.8,20.8
Guangdong,14.0,20.3
Shandong,15.5,19.1
Henan,15.0,19.0
Sichuan,16.3,18.7
Inner Mongolia,15.5,18.6
Jiangsu,14.5,18.5
Shanxi,15.2,18.5
Zhejiang,13.6,18.4
Xinjiang,14.6,18.2
Fujian,13.6,18.0
Guizhou,16.0,18.0
Anhui,14.0,18.0
Hubei,13.0,18.0
Jilin,14.0,17.0
Hebei,14.0,17.0
Gansu,15.4,17.0
Shaanxi,13.8,16.8
Jiangxi,14.7,16.8
Heilongjiang,12.0,16.0
Tibet,16.0,16.0
Guangxi,12.5,16.0
Liaoning,10.6,16.0
Ningxia,13.5,15.5
Hainan,14.0,15.3
Qinghai,15.2,15.2
Chongqing,14.0,15.0
Yunnan,13.0,15.0
Hunan,11.6,15.0
