Unnamed: 0,737,747,767,777,787
BDS USAF Tanker Program,0,0,23,0,0
FedEx Express,0,0,15,7,0
China Eastern Airlines,12,0,0,0,6
Delta Air Lines,18,0,0,0,0
Qatar Airways,2,0,0,6,7
BOC Aviation Limited,5,0,0,0,9
United Airlines,4,0,0,2,8
Air Lease Corporation,1,0,0,0,12
Turkish Airlines,5,0,0,1,6
Etihad Airways,0,0,0,0,11
UPS,0,6,5,0,0
BDS U.S. Navy (P-8A Poseidon),10,0,0,0,0
China Southern Airlines,0,0,0,5,4
Air Canada,6,0,0,0,2
TUI Travel PLC,6,0,0,0,2
ANA Holdings Inc.,0,0,0,7,0
International Lease Finance Co,0,0,0,0,7
Singapore Airlines,0,0,0,0,7
