Unnamed: 0,PC/Laptop,Tablet,Smartphone
E-mail,75%,22%,59%
Online shopping,72%,18%,43%
Watching movies/videos online,67%,23%,52%
Reading news,57%,19%,48%
Online banking,56%,11%,36%
Using social media sites,54%,19%,54%
Downloading software/applications,51%,16%,42%
Using online payment systems/wallets,47%,10%,30%
Uploading/sharing content,37%,11%,39%
Online data storage,36%,10%,29%
Instant messaging/video calling,36%,12%,43%
Listening to streaming music/radio,34%,12%,38%
Online gaming,32%,11%,28%
Visiting adult websites,24%,6%,17%
Visiting online dating websites/services or apps,18%,6%,18%
Trading securities/shares online,18%,4%,9%
Online gambling/betting,15%,5%,10%
