Unnamed: 0,TVs,Video Cameras,Digital Cameras,PCs,Smartphones
Q2 '19,2.5,-,0.7,-,0.6
Q1 '19,2.0,-,0.8,-,0.9
Q4 '18,2.1,-,0.6,-,1.1
Q3 '18,3.8,-,1.1,-,1.8
Q2 '18,2.8,-,0.9,-,1.6
Q1 '18,2.6,-,1.0,-,2.0
Q4 '17,2.5,-,0.6,-,2.7
Q3 '17,4.2,-,1.4,-,4.0
Q2 '17,3.2,-,1.1,-,3.4
Q1 '17,2.5,-,1.3,-,3.4
Q4 '16,2.2,-,1.0,-,2.9
Q3 '16,4.1,-,1.6,-,5.1
Q2 '16,3.1,-,0.8,-,3.5
Q1 '16,2.7,-,0.8,-,3.1
Q4 '15,2.4,-,1.0,-,3.4
Q3 '15,4.2,-,1.8,-,7.6
Q2 '15,3.0,-,1.6,-,6.7
Q1 '15,2.6,-,1.7,-,7.2
Q4 '14,2.7,-,1.5,-,7.9
Q3 '14,4.7,-,2.6,-,11.9
Q2 '14,3.6,-,2.2,-,9.9
Q1 '14*,3.6,-,2.2,-,9.4
Q4 '13,2.6,0.4,2.2,1.1,8.8
Q3 '13,4.5,0.7,3.4,1.7,10.7
Q2 '13,3.3,0.6,2.8,1.5,10.0
Q1 '13,3.1,0.6,3.1,1.3,9.6
Q4 '12,2.2,0.6,3.1,1.6,8.1
Q3 '12,4.2,1.1,4.9,2.2,8.7
Q2 '12,3.5,0.9,4.1,2,8.8
Q1 '12,3.6,1.1,4.9,1.8,7.4
