Unnamed: 0,Distillate fuel oil,Motor gasoline
18,3122.44,8980.57
17,2975.7,8987.62
16,2943.55,8972.95
15,2974.15,8834.98
14,2927.82,8777.96
13,2804.08,8679.23
12,2718.65,8525.18
11,2848.78,8591.32
10,2763.93,8824.31
9,2626.28,8840.73
8,2737.97,8834.37
7,3036.92,9092.86
6,3016.87,9029.34
5,2857.58,8948.24
4,2782.52,8886.93
3,2629.06,8732.87
2,2536.25,8661.57
1,2488.9,8435.2
0,2422.45,8369.92
99,2352.18,8336.11
98,2263.05,8128.09
97,2197.55,7883.05
96,2096.36,7771.96
95,1973.07,7674.0
94,1896.41,7487.35
93,1785.32,7367.25
92,1727.95,7125.1
