Unnamed: 0,Amsterdam,The Hague,Rotterdam,Utrecht
Q3 '19,23.47€,16.24€,15.95€,18€
Q2 '19,23.42€,16.28€,16.3€,16.87€
Q1 '19,23.28€,15.96€,16.29€,17.27€
Q4 '18,22.98€,15.87€,15.76€,17.21€
Q3 '18,22.83€,15.92€,16.5€,16.57€
Q2 '18,22.79€,15.65€,15.85€,16.63€
Q1 '18,22.48€,15.25€,15€,16.05€
Q4 '17,22.27€,15.26€,15.14€,15.24€
Q3 '17,22.06€,14.9€,14.43€,15.89€
Q2 '17,22.28€,14.6€,14.07€,16.44€
Q1 '17,22€,14.56€,14.26€,15.85€
Q4 '16,22.02€,14.55€,13.72€,15.56€
Q3 '16,21.96€,14.63€,14.35€,15.57€
Q2 '16,21.98€,14.46€,14.22€,15.35€
Q1 '16,22.34€,14.3€,13.66€,15.26€
Q4 '15,22.28€,14.5€,12.98€,14.59€
Q3 '15,21.04€,14.51€,13.08€,14.81€
Q2 '15,20.68€,13.74€,13.3€,15.06€
Q1 '15,20.04€,13.49€,12.67€,14.11€
Q4 '14,20.18€,13.68€,12.9€,13.81€
Q3 '14,19.31€,13.29€,12.51€,14.09€
Q2 '14,19.31€,12.87€,12.16€,14.04€
Q1 '14,18.83€,12.91€,12.28€,14.26€
Q4 '13,18.62€,12.89€,12.22€,14.14€
Q3 '13,18.51€,13.09€,12.19€,14.11€
Q2 '13,18.29€,12.88€,12.22€,14.27€
Q1 '13,18.93€,13.01€,11.82€,14.28€
Q4 '12,18.55€,12.43€,12.18€,14.74€
Q3 '12,18.11€,13.13€,12.53€,14.77€
Q2 '12,17.44€,13.07€,12.21€,14.19€
Q1 '12,17.59€,12.85€,12.18€,14.68€
Q4 '11,18.25€,13.26€,13.36€,14.66€
Q3 '11,17.13€,12.75€,12.05€,14.5€
Q2 '11,16.66€,12.94€,11.9€,14.06€
Q1 '11,16.57€,13.22€,12.2€,14.21€
Q4 '10,16.33€,13.12€,12.48€,13.21€
Q3 '10,16.08€,12.94€,12.23€,13.62€
Q2 '10,16.27€,12.9€,12.23€,13.56€
Q1 '10,16.32€,13.13€,12.29€,13.87€
