Unnamed: 0,Advertising revenue,Other revenue
Q4 '19,10021,227
Q3 '19,8317,170
Q2 '19,7952,163
Q1 '19,7203,105
Q4 '18,8246,187
Q3 '18,6547,120
Q2 '18,6137,114
Q1 '18,5559,108
Q4 '17,6271,121
Q3 '17,4912,121
Q2 '17,4450,106
Q1 '17,3851,117
Q4 '16,4435,121
Q3 '16,3431,129
Q2 '16,3077,135
Q1 '16,2615,125
Q4 '15,2847,140
Q3 '15,2120,136
Q2 '15,1826,141
Q1 '15,1592,147
Q4 '14,1709,155
Q3 '14,1362,152
Q2 '14,1175,133
Q1 '14,1039,140
Q4 '13,1068,138
Q3 '13,832,130
Q2 '13,721,127
Q1 '13,552,127
Q4 '12,631,149
Q3 '12,538,99
Q2 '12,479,111
Q1 '12,419,106
Q4 '11,462,105
Q3 '11,395,87
Q2 '11,394,77
Q1 '11,332,62
Q4 '10,359,53
Q3 '10,260,11
Q2 '10,243,6
Q1 '10,209,5
